surname,firstname,Institution,Language,social
Dutta,Indranil,,Bengali,@academicmargin
Emmory,Karen,,Sign Language,
Ergin,Rabia,,CTSL (village sign language in Turkey),
Etxeberria,Urtzi,"CNRS-IKER in Bayonne, France",Basque,
Ezeizabarrena,Maria-Jose,,Basque,
Faghiti,Pegah,,Persian,
Fedorova,Olga,Moscow State University,Russian,
Feiman,Roman,,Tagalog,
Flaherty,Molly,,,
Foley,Steven,UCSC,Georgian,
Fusaroli,Riccardo,,Danish,@fusaroli
Garcia,Rowena,,Tagalog,
Garrido,Gabriela,Max Plank Institute for Psycholinguistics,Murrinhpatha ,
Garrido,Gabriela,Max Plank Institute for Psycholinguistics,Tzeltal,
Gelman,Susan,,Quechua,
Gelman,Susan,,Mandarin,
Gharavi,Narges,Leiden University,Persian,
Gold,Jana,,"BCS (Bosnian, Croatian, Serbian)",
Gold,Jana,,Bantu,
Gomes,Juliana Novo,University of Porto,Karajá,
Goswami,,All India Institute of Speech and Hearing,,
Gray,Russell,,Indo-Pacific Languages,
Haman,Ewa,,Polish,
Hammerly,Christopher,University of British Columbia,Anishinaabemowin (Ojibwe),@chrishammerly
Havron,Naomi,,,@NaomiHavron
Hema,,All India Institute of Speech and Hearing,,
Hohaus,Vera,University of Manchester,Samoan,
Holler,Judith,Radboud University,,@JudithHoller
Howson,Phil,,Sorbian,@howson_phil
Hsiao,Yaling,University of Oxford,Mandarin,@yalinghsiao
Huettig,Falk,Radboud University,,@falk_huettig
Husain,Samar,IIT Dehli,,
Husain,Samir,"India Institute of Technology, Dehli",,
Ibarretxe-Atunano,Iraide,,Basque,@iraideia
Ibarretxe-Atunano,Iraide,,Aragonese,
Ibarretxe-Atunano,Iraide,,Asturian,
Ibarretxe-Atunano,Iraide,,Catalan,
Jara-Ettinger,Julian,Yale University,Indigenous Amazonian Languages,
Joanisse,Marc,,Serbian/Serbo-Croation,@drmarcj
Kar,Bhoomika,"Centre for Behavioral and Cognitive Science, Allahabad",,
Kartushina,Natalia,University of Oslo,"Norwegian Dialects, Basque, Russian, Bi/Multilingual Child Dev",@NataliaKartush1
Keshev,Maayan,,Hebrew,@MKeshev
Kheder,Souad,,Algerian,
Kidd,Evan,Australian National University,Murrinhpatha + Australian Indigenous,
Ko,Eon-Suk,Chosun University,"Korean, Child Language Acquisition",
Koizumi,Masatoshi,,Kaqchikel Mayan,
Krifka,Manfred,,Creol,
Kumar,Uttam,"Centre for Biomedical Research, Lucknow",,
Kuperman,Victor,McMaster University,Non-native English,
Kush,Dave,,Norwegian,
Lacina,Radim,University of Potsdam,Czech,@RadLacina
Lai,Regine,Chinese University of Hong Kong,Cantonese,
Laka,Itziar,,Basque,
Lima,Suzi,University of Toronto,"South American Indigenous, African Languages",
Lipski,John,,Media Lengua,
Lipski,John,,Palenquero,
Lopocaro,Michele,University of Zurich,Southern Italian Dialects,
Luniewska,Magda,,Polish,
Lutzenberger,Hannah,Radbound University,Kata Kolok,@hlutzenberger
Macdonald,Maryellen,,Serbian/Serbo-Croation,@mcmacdonald
MacSweeny,Maired,,Sign Language,
Maia,Marcus,Federal University of Rio de Janeiro,Karajá,
Majid,Asifa,University of Oxford,a lot,@asifa_majid
Malik-Moraleda,Saima,Harvard University,Tsimane,@saima_mm
Mani,Nivedita,,,@nivedita_mani
Mannheim,Bruce,,Quechua,
Mayer,Elizabeth,Australian National University,Quechua,
Mayor,Julien,University of Oslo,Norwegian Dialects,@julien__mayor
Maziyah,Mirrah,University of Western Ontario,Malay,@maziyahmd
Mazuka,Reiko,,,
Mekni-Toujani,Marwa,,Tunisian Arabic,@marwaMTM
Melinger,Alissa,University of Dundee,Scots,@AlissaMelinger
Melinger,Alissa,,Scottish English,
Meltzer-Asscher,Aya,,Hebrew,@aya_meltzer
Mercan,Gozde,,Turkish,@DrGozdeMercan
Mirkovic,Jelena,,Serbian/Serbo-Croation,@JelenaZMirkovic
Mishra,Ramesh,University of Hyderbad,,
Mitra,Auromitra,NYU,Bengali,@auromitra_mitra
Mitterer,Holger,University of Malta,Maltese,@HolgerMitterer
Moitra,Swarnendu,,Bangla,@SwarMoi
Mous,Maarten,Leiden University,Konso,
Munarriz,Amaia,,Basque,
Myachikov,Andryi,,Russian,
n/a,n/a,Leiden University,Mahkuwa,
Namboodiripad,Savithry,University of Michigan,Malayalam,@dapiridoobman
Nascimento,Marcia,,Kaingang,
Nieder,Jessica,Heinrich Heine University Dusseldorf,Maltese,@justalingwist
Norcliffe,Elisabeth,University of Oxford,Tzeltal/Mayan Languages,@ejnorcliffe
Nordlinger,Rachel,University of Melbourne,Murrinhpatha + Australian Indigenous,@RachNordlinger
Oksuz,Dogus Can,,Turkish,@dcoksz
Oliveira,Cristiane,,Karajá,
Oliveira,Rosana,Federal University of Paraíba,Xavante,
Otwinowska-Kastelanicz,Agnieszka,,Polish,
Ozyurek,Asli,,Turkish,@ozyurek_a
Ozyurek,Asli,,Dutch,
Ozyurek,Asli,,German,
Ozyurek,Asli,,Chinese,
Ozyurek,Asli,,Turkish Sign Language,
Ozyurek,Asli,,Italian Sign Language,
Ozyurek,Asli,,Dutch Sign Language,
Ozyurek,Asli,,German Sign Language,
Padakannaya,Prakash,"Christ University, Bangalore",,
Paillereau,Nikola,,Czech/Slovak,
Pedro,Pedro Mateo,University of Toronto,Mayan Languages,
Peñaloza,Claudia,University of Barcelona,Catalan-Spanish Bilingualism - Clinical/Aphasia and Dementia,https://claudiapenaloza.wixsite.com/website
Perwitasari,Arum,Leiden University,Javanese,
Perwitasari,Arum,Leiden University,Sudanese,
Piantadosi,Steve,UC Berkeley,Indigenous Amazonian Languages,
Pitt,Ben,UC Berkeley,Indigenous Amazonian Languages,
Pizzaro-Guevara,Jed,UMass,Tagalog,
Polinsky,"Maria ""Masha""","University of Maryland, College Park","Cacauses, Austronesian, and Mayan Languages",
Prema,S,University of Kerala,"Malayalam, Endangered Languages of Kerala",
Price,Jess,,Malay,
Pyers,Jennie,Wellesley College,Emerging Sign Languages (Nicaragua),@jenniepyers
Rangaswamy,,"Christ University, Bangalore",,
Ray,Supriya,"Centre for Behavioral and Cognitive Science, Allahabad",,
Ristic,Bojana,,"BCS (Bosnian, Croatian, Serbian)",
Roeser,Jens,,Tagalog,@jens_roeser
Rowland,Caro,,Tashelhiyt Berber,@CaroRowland
Rubio-Fernandez,Paula,University of Oslo,,
Ryskin,Rachel,UC Merced,,
Samudravijaya,,"India Institute of Technology, Guwahati",,
Sanchez,Liliana,University of Illinois,Quechua,
Sander,Jenni,,Dutch Sign Language,@jennisander1
Santosh,,All India Institute of Speech and Hearing,,
Sanyal,Poroma,"India Institute of Technology, Dehli",,
Sasaki,Kelsey,,,
Sauerland,Uli,,Kaingang,
Sauerland,Uli,,Pirahã,
Sauppe,Sebastian,University of Zurich,Tagalog,@SebastianSauppe
Sauppe,Sebastian,University of Zurich,Hindi,
Sauppe,Sebastian,University of Zurich,Basque,
Sauppe,Sebastian,University of Zurich,Äiwoo,
Scaff,Camila,,Tsimane,
Schembri,Adam,University of Birmingham,Australian and British Sign Languages,@AdamCSchembri
Schiller,Niels,Leiden University,Mandarin,
Seidenberg,Mark,,Serbian/Serbo-Croation,@markseidenberg
Sekerina,Irina,,Russian,
Shechter,Adi,,Hebrew,
Shiamizadeh,Zohreh,Leiden University,Persian,
Shreedive,,All India Institute of Speech and Hearing,,
Siegelmann,Noam,Hebrew University of Jerusalem,Non-native English,@NoamSiegelman
Singh,Leher,National University of Singapore,Bi/Multilingual Infant Dev,@leher_singh
Singh,Nandini,"National Brain Research Centre, Manesar",Indian Languages - fMRI Imagining Studies,
Singh,Niharika,"Centre for Behavioral and Cognitive Science, Allahabad",,
Slioussar,Natalia,,Russian,
Smolík,Fliip,,Czech/Slovak,
Som,Bidisha,"India Institute of Technology, Guwahati",,
Stamp,Rose,Bar-Ilan University,British Sign Language,@rosestamp
Starr,Rebecca,National University of Singapore,"Mandarin, Cantonese, Japanese",
Sumer,Beyza,University of Amsterdam,Sign Languages,@bkdalli
Szewcyzk,Jakub,,Polish,
Tardiff,Twila,,Mandarin,
Timmer,Kalinka,Leiden University,Persian,
Tollan,Rebecca,University of Delaware,,
Tong,Shelley,Hong Kong University,Chinese,
Trecca,Fabio,,Danish,@fabio_trecca
Tsegaye,Mulugeta,Leiden University,Konso,
Tsuji,Sho,,,
Tucker,Matt,,Arabic,
Vaidya,Ashwini,IIT Dehli,,@avaidya_
